Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2021-03-23,-0.006888473262680828,0.006737352546922537,0.0052394683330254654,0.008560288075996736,-0.01170146456365928
2021-03-24,-0.01999349011102869,-0.008923465420969112,-0.004310920151092801,-0.016073304438495972,-0.04816058727810213
2021-03-25,0.0041635586085186915,-0.013250364825869498,-3.436478659979425e-05,-0.013219634289670767,0.016056627401557888
2021-03-26,0.005141361958481472,0.017818520669378612,-0.0038033437026712136,0.0018941122432061253,-0.03385438241576766
2021-03-29,0.0014849329838202419,-0.005243487600772867,0.010401353322545104,0.007765307334585803,-0.011992667021112458
2021-03-30,-0.012274250169886924,-0.014410711601088977,0.00033239615665792144,-0.006645597502498379,0.0398010788512122
2021-03-31,0.018765505300825103,0.016907279679611475,0.007842919976430274,0.01269600564306872,0.05083220558444035
2021-04-01,0.006958656102245886,0.027908496643860747,0.0326104526354396,0.02162845443110406,-0.009252455923120073
2021-04-05,0.023577407511117476,0.027728633737801323,0.04187285830680243,0.02079404593469847,0.04427659122771899
2021-04-06,0.002462040943096211,-0.004858155310678902,-0.004371360406351665,-0.0009018902147276409,0.0008247761127986308
2021-04-07,0.013390418916691127,0.00823046455575871,0.01347514283155582,0.01723733655641202,-0.029857428208930892
2021-04-08,0.019233633558890517,0.013405293686627795,0.005091379183345346,0.006071242952548017,0.01912159613436426
2021-04-09,0.02025186787001587,0.010266673556952988,0.00899393684001537,0.02209562242522667,-0.00991515573303492
2021-04-12,-0.01323297242623278,0.0002345035889057545,-0.011472395298351756,0.0021321218730274705,0.03686741230129442
2021-04-13,0.024306207119157097,0.010081600916766797,0.004370394628889773,0.006098747605224553,0.08595690364784803
2021-04-14,-0.017853130625864133,-0.011218971164091873,-0.005553477556691222,-0.01970591825597423,-0.03947166704647509
2021-04-15,0.01870781474631067,0.015297871486605885,0.01933167963009974,0.013828409714570444,0.009040931223980753
2021-04-16,-0.002527904440250195,0.004778588081981505,-0.0010939926875509487,0.006022342354579324,0.0012587029151958085
2021-04-19,0.005068738644615989,-0.007670634631670614,0.0030709150545062958,-0.00806900981526193,-0.03399658468630862
2021-04-20,-0.012830141153627572,-0.001855136031836624,-0.004694902870774231,-0.011067567276491497,0.006101017267521991
2021-04-21,0.0029302150519157077,0.008983268680554435,-0.00028953735926384727,0.008195669633476843,0.034951793439894185
2021-04-22,-0.011685559763061737,-0.013086117416169496,-0.01133716136635321,-0.015758395892332966,-0.03283069676699324
2021-04-23,0.018038547778166603,0.015476014690783968,0.021047521956333304,0.00962218974677076,0.013491908213451254
2021-04-26,0.0029777636366434823,0.0015316089737074101,0.004348039853464325,0.020389780364207244,0.012064715006025795
2021-04-27,-0.0024494689464341635,0.001606055344219648,-0.008203598377942711,0.0024729175512423485,-0.045326479073682924
2021-04-28,-0.006026915895607443,-0.028285859413355596,0.02970768971037341,0.012017786731569835,-0.014672094304228334
2021-04-29,-0.0007485941137492791,-0.008053006893599668,0.014293955825014137,0.0037039347600635875,-0.02505755171974844
