day,p5,p25,p50_median,p75,p95,mean,initial_value
21,97338.923724589,99340.03465517511,100804.15972993308,102278.06080445228,104426.13525115888,100828.7349729564,100000.0
22,97291.27941861625,99363.0365778575,100830.58359776618,102363.95554045404,104536.46321545583,100863.0964603286,100000.0
23,97242.91107237388,99377.06671145276,100874.06604754951,102437.57187160043,104698.72645109719,100907.39550615723,100000.0
24,97161.71376878943,99384.09918702624,100928.3635403022,102483.02053064619,104791.6800143442,100948.42594199281,100000.0
25,97154.86290360308,99374.97481108354,100970.53367159492,102582.92801875528,104901.28423962642,100991.84809378762,100000.0
26,97087.6343582362,99409.9081987033,101007.77727618345,102634.17423688188,104993.1634043964,101030.84750835695,100000.0
27,97060.47158847071,99407.74218010527,101048.35062522226,102725.20351753212,105067.85187678575,101063.38044812644,100000.0
28,97021.96688850541,99422.33473960492,101090.64032054631,102778.10105382488,105257.1918043458,101106.62641934292,100000.0
29,96966.67100696564,99418.71699958292,101108.20417732741,102874.70292248439,105391.00101440806,101148.71322441209,100000.0
30,96950.53558171044,99448.73810822947,101139.2100052047,102916.81124656148,105442.76236791887,101185.17044610574,100000.0
31,96966.55193630028,99442.87574314402,101175.20857519744,102990.44335751851,105550.00154572396,101221.02264346571,100000.0
32,96905.48269632457,99462.15304899817,101236.57910983244,103091.52013847225,105709.58595042094,101265.00157298257,100000.0
33,96907.06467315892,99473.32607071578,101259.40717597635,103130.87262201769,105798.0392827487,101307.72351054332,100000.0
34,96876.36581075826,99487.33951486083,101298.49992080219,103222.7065976141,105919.84869233146,101351.27937559679,100000.0
35,96835.15023216067,99508.45817224975,101353.38640729163,103266.63751907772,105998.68773310972,101393.37260993778,100000.0
36,96813.99701237686,99519.8407133448,101396.01501572542,103334.82917964227,106108.15204088698,101434.59426567142,100000.0
37,96806.42978282433,99532.90277343639,101465.69813592294,103401.37678696017,106229.10272528781,101474.78796559846,100000.0
38,96798.89023647121,99543.55713504924,101502.1485756448,103488.18979590049,106316.888300082,101523.54490902256,100000.0
39,96758.31013057937,99531.48008257042,101543.72425119943,103498.43356386565,106409.02767366076,101566.46315024495,100000.0
