Date,AAPL,MSFT,GOOGL,AMZN,TSLA
2021-03-22,120.18128967285156,226.44651794433594,100.70220947265625,155.5435028076172,223.3333282470703
2021-03-23,119.35342407226562,227.97216796875,101.2298355102539,156.875,220.72000122070312
2021-03-24,116.96713256835938,225.9378662109375,100.79344177246094,154.35350036621094,210.08999633789062
2021-03-25,117.45413208007812,222.94410705566406,100.78997802734375,152.31300354003906,213.4633331298828
2021-03-26,118.0580062866211,226.91664123535156,100.4066390991211,152.60150146484375,206.23666381835938
2021-03-29,118.23331451416016,225.726806640625,101.45100402832031,153.7864990234375,203.76333618164062
2021-03-30,116.78208923339844,222.4739227294922,101.48472595214844,152.76449584960938,211.8733367919922
2021-03-31,118.97356414794922,226.2353515625,102.2806625366211,154.70399475097656,222.64332580566406
2021-04-01,119.80146026611328,232.5492401123047,105.61608123779297,158.0500030517578,220.5833282470703
2021-04-05,122.62606811523438,238.9975128173828,110.03852844238281,161.3365020751953,230.35000610351562
2021-04-06,122.927978515625,237.83642578125,109.55751037597656,161.1909942626953,230.5399932861328
2021-04-07,124.57403564453125,239.79393005371094,111.0338134765625,163.96949768066406,223.6566619873047
2021-04-08,126.97004699707031,243.00843811035156,111.59912872314453,164.96499633789062,227.93333435058594
2021-04-09,129.5414276123047,245.50332641601562,112.60284423828125,168.61000061035156,225.67333984375
2021-04-12,127.82720947265625,245.56089782714844,111.31101989746094,168.96949768066406,233.9933319091797
2021-04-13,130.9342041015625,248.0365447998047,111.79749298095703,170.0,254.10667419433594
2021-04-14,128.59661865234375,245.2538299560547,111.17662811279297,166.64999389648438,244.07666015625
2021-04-15,131.00238037109375,249.0056915283203,113.32585906982422,168.95449829101562,246.28334045410156
2021-04-16,130.6712188720703,250.19558715820312,113.2018814086914,169.9720001220703,246.5933380126953
2021-04-19,131.33355712890625,248.27642822265625,113.54951477050781,168.60049438476562,238.2100067138672
2021-04-20,129.64852905273438,247.8158416748047,113.01641082763672,166.7344970703125,239.663330078125
2021-04-21,130.02842712402344,250.0420379638672,112.98368835449219,168.1009979248047,248.0399932861328
2021-04-22,128.50897216796875,246.76995849609375,111.70277404785156,165.45199584960938,239.89666748046875
2021-04-23,130.82708740234375,250.58897399902344,114.05384063720703,167.04400634765625,243.13333129882812
2021-04-26,131.21665954589844,250.9727783203125,114.54975128173828,170.4499969482422,246.06666564941406
2021-04-27,130.89524841308594,251.3758544921875,113.61003112792969,170.8715057373047,234.913330078125
2021-04-28,130.10635375976562,244.26547241210938,116.98512268066406,172.9250030517578,231.46665954589844
2021-04-29,130.0089569091797,242.29840087890625,118.65730285644531,173.5655059814453,225.6666717529297
2021-04-30,128.04141235351562,241.98170471191406,116.71038818359375,173.37100219726562,236.47999572753906
2021-05-03,129.0933837890625,241.6746368408203,116.19366455078125,169.32449340820312,228.3000030517578
2021-05-04,124.52533721923828,237.769287109375,114.39601135253906,165.593505859375,224.53334045410156
2021-05-05,124.7688217163086,236.50265502929688,114.78975677490234,163.52699279785156,223.64666748046875
2021-05-06,126.36618041992188,239.63079833984375,115.90951538085938,165.31849670410156,221.17999267578125
2021-05-07,127.03935241699219,242.25042724609375,116.63253021240234,164.58050537109375,224.1233367919922
2021-05-10,123.76118469238281,237.18389892578125,113.648193359375,159.52450561523438,209.67999267578125
2021-05-11,122.84407806396484,236.27235412597656,112.57257843017578,161.19549560546875,205.73333740234375
2021-05-12,119.78052520751953,229.33473205566406,109.11070251464844,157.5970001220703,196.6300048828125
2021-05-13,121.92696380615234,233.20176696777344,110.53841400146484,158.07350158691406,190.56333923339844
2021-05-14,124.34658813476562,238.11471557617188,112.98517608642578,161.14500427246094,196.5800018310547
2021-05-17,123.19532012939453,235.26478576660156,113.50786590576172,163.51950073242188,192.27667236328125
2021-05-18,121.80988311767578,233.249755859375,112.19618225097656,161.61399841308594,192.6233367919922
2021-05-19,121.65377044677734,233.8268280029297,112.64400482177734,161.58999633789062,187.82000732421875
2021-05-20,124.21000671386719,237.05838012695312,114.4019775390625,162.38400268554688,195.5933380126953
2021-05-21,122.37577056884766,235.7984161376953,113.76622009277344,160.1540069580078,193.6266632080078
2021-05-24,124.00511169433594,241.1940155029297,117.08429718017578,162.24949645996094,202.14666748046875
2021-05-25,123.80999755859375,242.09808349609375,117.17505645751953,162.95249938964844,201.56333923339844
