simulation_id,final_value,profit_loss,return_pct
1,98715.53358022947,-1284.4664197705279,-1.2844664197705247
2,115533.54234278457,15533.542342784567,15.533542342784568
3,102777.90273335998,2777.9027333599806,2.7779027333599826
4,125562.25874124278,25562.258741242782,25.562258741242783
5,120020.78202538574,20020.782025385735,20.02078202538573
6,112491.23742716256,12491.23742716256,12.49123742716256
7,104337.20341009554,4337.203410095535,4.337203410095536
8,102831.1354079504,2831.1354079503944,2.8311354079503914
9,116590.75537688035,16590.75537688035,16.590755376880352
10,100303.88169388889,303.8816938888922,0.30388169388888553
11,104225.45338574956,4225.453385749555,4.225453385749556
12,103625.53058281998,3625.530582819978,3.62553058281998
13,105296.91844991251,5296.918449912511,5.296918449912513
14,118370.12097658866,18370.12097658866,18.370120976588655
15,122009.88611838449,22009.886118384486,22.00988611838448
16,115441.03749308859,15441.037493088588,15.441037493088583
17,101912.42981496657,1912.4298149665701,1.9124298149665764
18,114541.79821622086,14541.798216220865,14.541798216220858
19,112633.5368388168,12633.536838816799,12.633536838816806
20,107967.47499047237,7967.474990472372,7.967474990472367
21,106258.2391867998,6258.239186799794,6.258239186799797
22,119370.52205731242,19370.522057312424,19.37052205731242
23,119128.74474632835,19128.744746328346,19.12874474632835
24,116675.07254269322,16675.07254269322,16.675072542693226
25,112578.73633581745,12578.736335817448,12.578736335817453
26,107543.64574713091,7543.645747130911,7.5436457471309115
27,107845.11860145707,7845.11860145707,7.845118601457068
28,102597.70432038284,2597.704320382836,2.597704320382843
29,114401.76555061393,14401.765550613927,14.40176555061392
30,105233.89867364337,5233.898673643373,5.233898673643367
31,119833.08575364831,19833.08575364831,19.833085753648305
32,121031.78369903058,21031.78369903058,21.031783699030584
33,113298.90421208917,13298.904212089168,13.29890421208917
34,108542.77244902668,8542.772449026685,8.542772449026682
35,114394.56131437891,14394.561314378909,14.394561314378906
36,105326.33675906902,5326.336759069018,5.326336759069017
37,101339.04322035651,1339.0432203565142,1.3390432203565172
38,107822.2281684933,7822.228168493297,7.822228168493295
39,109177.45411790583,9177.454117905829,9.177454117905825
40,111349.53841494734,11349.53841494734,11.349538414947347
41,128233.27852073756,28233.278520737556,28.23327852073756
42,114817.28124938937,14817.281249389373,14.817281249389369
43,118280.49149175803,18280.49149175803,18.280491491758035
44,109372.11125343516,9372.111253435156,9.372111253435156
45,112934.42625716356,12934.426257163563,12.934426257163567
46,102118.14799061183,2118.147990611833,2.1181479906118295
47,104788.17464495101,4788.17464495101,4.788174644951004
48,112097.3673430167,12097.367343016696,12.097367343016696
49,109464.98658023398,9464.986580233977,9.46498658023398
50,107440.31350990378,7440.313509903775,7.440313509903773
51,110001.91222533573,10001.912225335735,10.00191222533573
52,120743.94799764596,20743.947997645955,20.74394799764596
53,118780.212932318,18780.212932317998,18.780212932317998
54,103350.50212704802,3350.502127048021,3.350502127048016
55,105264.30855483224,5264.3085548322415,5.264308554832242
56,101239.38408602291,1239.3840860229102,1.23938408602291
57,117633.51624329375,17633.51624329375,17.633516243293744
58,123078.08741917137,23078.087419171366,23.078087419171368
59,105715.85739757476,5715.857397574757,5.715857397574764
60,112501.27355584412,12501.27355584412,12.501273555844117
61,114798.37993499094,14798.379934990939,14.798379934990935
62,100072.77087383106,72.77087383106118,0.07277087383106284
63,112459.78166181168,12459.781661811678,12.459781661811675
64,105188.07231862626,5188.072318626262,5.188072318626258
65,112029.58720183717,12029.587201837174,12.029587201837177
66,111070.96099702826,11070.960997028262,11.070960997028267
67,112556.90781973134,12556.907819731336,12.556907819731332
68,115941.65516772888,15941.65516772888,15.941655167728875
69,118538.50045358864,18538.50045358864,18.538500453588647
70,119256.82648070245,19256.826480702453,19.25682648070246
71,97463.1721014833,-2536.827898516698,-2.5368278985167025
72,107374.51915831944,7374.519158319439,7.374519158319437
73,94839.89410513223,-5160.105894867767,-5.1601058948677725
74,113476.99819859017,13476.998198590169,13.476998198590163
75,115241.91799035158,15241.917990351576,15.241917990351572
76,115199.32636657267,15199.32636657267,15.199326366572663
77,106107.78992524683,6107.789925246834,6.1077899252468315
78,107065.90277992994,7065.9027799299365,7.065902779929933
79,107356.89626159168,7356.896261591683,7.356896261591683
80,98313.17679980912,-1686.8232001908764,-1.686823200190879
81,105647.26170803544,5647.261708035439,5.647261708035445
82,108929.86508704227,8929.865087042272,8.929865087042277
83,111235.63847453619,11235.638474536187,11.235638474536191
84,116462.98409463691,16462.984094636908,16.462984094636912
85,104706.98106919185,4706.981069191854,4.706981069191851
86,112736.64260606417,12736.642606064168,12.736642606064175
87,118061.26317504537,18061.263175045373,18.061263175045372
88,114771.4334093805,14771.433409380494,14.771433409380496
89,114627.23602338167,14627.236023381673,14.627236023381673
90,114753.07997807118,14753.079978071182,14.753079978071181
91,116299.67746857663,16299.677468576629,16.299677468576633
92,118760.10368026742,18760.10368026742,18.760103680267413
93,97040.73106842776,-2959.268931572238,-2.9592689315722343
94,99894.94518655067,-105.05481344932923,-0.10505481344933454
95,112646.47889050252,12646.47889050252,12.646478890502522
96,103118.18821121474,3118.188211214743,3.118188211214745
97,100016.60066498713,16.600664987126947,0.016600664987120872
98,106706.52621734822,6706.526217348219,6.706526217348219
99,107154.57208505328,7154.572085053282,7.154572085053279
100,112727.41601503569,12727.416015035691,12.727416015035686
101,110779.38488416777,10779.384884167768,10.779384884167765
102,119470.7618546865,19470.761854686498,19.4707618546865
103,99462.81643845841,-537.1835615415912,-0.5371835615415876
104,107024.07658719107,7024.07658719107,7.024076587191064
105,111667.94932266508,11667.949322665081,11.667949322665084
106,99956.44420845015,-43.555791549850255,-0.04355579154985412
107,116886.97780791488,16886.977807914882,16.88697780791488
108,115256.69500377511,15256.695003775108,15.25669500377511
109,119137.94089987795,19137.940899877955,19.137940899877947
110,117765.66172219973,17765.66172219973,17.76566172219973
111,110326.42454892959,10326.424548929586,10.32642454892958
112,117200.92599833736,17200.925998337363,17.200925998337357
113,99785.84706963823,-214.15293036177172,-0.2141529303617662
114,98832.67857214995,-1167.3214278500527,-1.1673214278500543
115,122519.50111338144,22519.50111338144,22.519501113381434
116,106600.32589706303,6600.325897063027,6.600325897063031
117,111219.7952525517,11219.795252551703,11.219795252551702
118,103794.25860893214,3794.258608932141,3.794258608932144
119,100361.34753857706,361.347538577058,0.3613475385770615
120,103308.71430994157,3308.71430994157,3.308714309941574
121,117804.63082290906,17804.630822909065,17.80463082290906
122,95529.65316537564,-4470.346834624361,-4.470346834624362
123,97389.45173431029,-2610.5482656897075,-2.610548265689705
124,94823.57097414292,-5176.429025857084,-5.176429025857088
125,118356.7291278385,18356.729127838495,18.3567291278385
126,127551.05565073197,27551.05565073197,27.55105565073197
127,117563.4109934454,17563.410993445403,17.563410993445405
128,112358.51359362173,12358.513593621727,12.358513593621723
129,106733.00704189084,6733.0070418908435,6.733007041890837
130,107718.08845981557,7718.088459815568,7.718088459815564
131,118297.31432571854,18297.314325718544,18.29731432571855
132,107457.45966255739,7457.45966255739,7.4574596625573975
133,90314.53629884511,-9685.463701154891,-9.685463701154895
134,100675.2475716807,675.2475716806948,0.6752475716806927
135,111512.20981681025,11512.209816810253,11.512209816810248
136,109234.20854452213,9234.208544522131,9.234208544522126
137,116102.45343586683,16102.453435866832,16.102453435866828
138,106521.24733556547,6521.247335565466,6.521247335565472
139,117974.45646305596,17974.45646305596,17.974456463055954
140,124790.54959548515,24790.54959548515,24.790549595485146
141,99939.49771887177,-60.50228112822515,-0.06050228112822742
142,128106.36338213393,28106.36338213393,28.106363382133924
143,115158.68274022843,15158.682740228425,15.158682740228425
144,109647.38006209632,9647.380062096316,9.64738006209631
145,119719.14913891874,19719.149138918743,19.719149138918745
146,113299.74149164419,13299.741491644192,13.299741491644191
147,105508.11714215516,5508.117142155155,5.508117142155156
148,121156.35681172652,21156.356811726524,21.156356811726518
149,123326.24300065642,23326.243000656425,23.326243000656422
150,115211.80013180747,15211.800131807468,15.211800131807474
151,106616.45631602823,6616.456316028227,6.61645631602823
152,107913.1903436305,7913.1903436305,7.913190343630494
153,124515.30590274553,24515.30590274553,24.51530590274553
154,111443.79993545792,11443.799935457922,11.443799935457921
155,105527.84188772047,5527.841887720468,5.527841887720464
156,102122.96839822055,2122.968398220546,2.1229683982205483
157,102202.91339686183,2202.913396861826,2.2029133968618275
